towed_date_	towed_from	towed_by	hour	Minutes	Time	towed_cars_year	towed_make	towed_model	towed_desc	towed_color	towed_misc	towed_agency	towed_reason__FIXED	towed_reason_code	day_of_week_when_towed	Month_when_towed	Year_when_towed
Friday, January 28, 2011	249 RIVER ST	249 RIVER ST	8	55:00:00	8:55:00	8	TOYT	YAR	4	BLK BLK	MATTAPAN HEIGH	PRIVAT	14	CODE 14	Friday	January	2011
Friday, April 01, 2011	92 AMES ST	A	23	59:00:00	23:59:00	4	TOYT		4	BLK BLK	BHA	POLTOW	14	14	Friday	April	2011
Friday, April 02, 2010	166 MARGARETTA DR	A	9	32:00:00	9:32:00	0	SAA		4	GRN		PRIVAT	14	CODE 14	Friday	April	2010
Friday, April 02, 2010	166 MARGARETTA DR	A	9	32:00:00	9:32:00	97	INFI		4	BLK		PRIVAT	14	CODE 14	Friday	April	2010
Friday, April 02, 2010	16 W.WIND	A	6	28:00:00	6:28:00	4	VOLK		4	BLU BLU	LONGWOOD SECUR	POLTOW	14	14	Friday	April	2010
Friday, April 02, 2010	15 OLSTEN VIEW	A	4	54:00:00	4:54:00	9	TOYT		4	GRN GRN	LONGWOOD SECUR	POLTOW	14	14	Friday	April	2010
Friday, April 02, 2010	25 S. PT DRIVE	A	4	54:00:00	4:54:00	2	HOND	CIV	4	GRN GRN	LONGWOOD SECUR	POLTOW	14	14	Friday	April	2010
Friday, April 02, 2010	838 BLUE HILL AV	A	22	22:00:00	22:22:00	2	ACUR		4	BLK		C907F	1	CODE 01	Friday	April	2010
Friday, April 08, 2011	20 FERNBOROUGH ST	A	1	21:00:00	1:21:00	95	CHRY		4	RED RED		POLTOW	15	15	Friday	April	2011
Friday, April 08, 2011	18 FERNBOROUGH ST	A	1	21:00:00	1:21:00	3	KIA		4	GRY GRY		POLTOW	15	15	Friday	April	2011
Friday, April 15, 2011	44 SHANNON RD	A	2	14:00:00	2:14:00	97	FORD		4	RED RED		POLTOW	14	14	Friday	April	2011
Friday, April 22, 2011	2 MORRIS ST	A	2	50:00:00	2:50:00	98	VOLK		4	GRN GRN		POLTOW	15	15	Friday	April	2011
Friday, April 22, 2011	MORRIS/WASHINGTON ST	A	2	50:00:00	2:50:00	4	CADI		4	WHT WHT		POLTOW	15	15	Friday	April	2011
Friday, April 22, 2011	24 DEVON ST	A	1	51:00:00	1:51:00	95	JEEP		4	BLK BLK		POLTOW	15	15	Friday	April	2011
Friday, April 22, 2011	94 NORMANDY ST	A	1	41:00:00	1:41:00	6	TOYT		4	BLK BLK		POLTOW	15	15	Friday	April	2011
Friday, April 22, 2011	94 NORMANDY ST	A	1	41:00:00	1:41:00	0	CHEV		4	WHT WHT		POLTOW	15	15	Friday	April	2011
Friday, April 22, 2011	94 NORMANDY ST	A	1	41:00:00	1:41:00	95	FORD		4	WHT WHT		POLTOW	15	15	Friday	April	2011
Friday, August 06, 2010	W VIEW/W VIEW WY	A	20	0:00:00	20:00:00	9	HOND		4	BLK		PRIVAT	14	CODE 14	Friday	August	2010
Friday, December 03, 2010	538 GEORGE TOWNE DR/ HP	A	4	25:00:00	4:25:00	7	NISS	VER	4	BLK BLK	LONGWOOD SECUR	POLTOW	14	14	Friday	December	2010
Friday, February 04, 2011	26 CROWN POINT DR	A	12	47:00:00	12:47:00	2	FORD		4	GRY GRY	LONGWOOD SECUR	POLTOW	14	14	Friday	February	2011
Friday, February 04, 2011	228 GEORGETOWN DR	A	12	16:00:00	12:16:00	4	NISS		4	RED RED	LONGWOOD SECUR	POLTOW	14	14	Friday	February	2011
Friday, February 04, 2011	248 GENEVA AVE	A	6	6:00:00	6:06:00	3	FORD	ESC	4	BLK BLK		H425	3	3	Friday	February	2011
Friday, February 18, 2011	245 CROWN POINT DR	A	23	59:00:00	23:59:00	2	FORD	F25	4	RED RED	LONGWOOD SECUR	POLTOW	14	14/CORRECT DATE 021911	Friday	February	2011
Friday, February 18, 2011	270 MT VERNON	A	23	59:00:00	23:59:00	98	NISS		4	BRN BRN	LONGWOOD SECUR	POLTOW	14	14/CORRECT DATE 021911	Friday	February	2011
Friday, January 14, 2011	20 RUGG RD	A	5	44:00:00	5:44:00	2	JEEP		4	GRY GRY		POLTOW	14	14	Friday	January	2011
Friday, January 14, 2011	127 WASHINGTON ST	A	5	9:00:00	5:09:00	0	VOLK	JET	4	GRY GRY		POLTOW	14	14	Friday	January	2011
Friday, January 14, 2011	430 BENNINGTON ST	A	4	42:00:00	4:42:00	99	TOYT		4	BLK BLK	LONGWOOD SECUR	POLTOW	14	14	Friday	January	2011
Friday, January 21, 2011	166 MARGARITA ST/ GEORGE	A	12	24:00:00	12:24:00	10	DODG		4	GRY GRY	LONGWOOD SECUR	POLTOW	14	14	Friday	January	2011
Friday, January 28, 2011	74 OCEAN VIEW DR	A	7	24:00:00	7:24:00	99	TOYT		4	BRN BRN	LONGWOOD SECUR	POLTOW	14	14	Friday	January	2011
Friday, January 28, 2011	30 PENNISULA	A	6	3:00:00	6:03:00	97	FORD	TAU	4	RED RED	HARBOR PT	POLTOW	14	14	Friday	January	2011
Friday, January 28, 2011	101 OCEAN VIEW DR	A	4	8:00:00	4:08:00	6	ACUR		4	GRY GRY	LONGWOOD SECUR	POLTOW	14	14	Friday	January	2011
Friday, January 28, 2011	2 OCEAN VIEW DR	A	12	31:00:00	12:31:00	9	AUDI		4	GRY GRY	LONGWOOD SECUR	POLTOW	14	14	Friday	January	2011
Friday, July 16, 2010	135 DUDLEY ST	A	18	15:00:00	18:15:00	5	VENT		4	BLK		B454F	11	CODE 11	Friday	July	2010
Friday, February 18, 2011	1 GLENVILLE TERRACE/ BB	A B C	23	57:00:00	23:57:00	10	HOND	CIV	4	BRN BRN	GRN MGMT	PRIVAT	14	14/ CORRECT DATE 021911	Friday	February	2011
Friday, February 18, 2011	872 HUNTINGTON AVE	A B C	23	57:00:00	23:57:00	8	DODG	AVE	4	BLK BLK	K/ CHEN	PRIVAT	14	14/ CORRECT DATE 021911	Friday	February	2011
Friday, February 18, 2011	128 BRIGHTON AVE/ BB	A B C	23	57:00:00	23:57:00	95	HOND	ACC	4	GRN GRN	SLEEPIES	PRIVAT	14	CODE 14	Friday	February	2011
Friday, April 02, 2010	20 RUGG RD	A B C TOW	21	42:00:00	21:42:00	6	CHEV		4			PRIVAT	14	CODE 14	Friday	April	2010
Friday, July 16, 2010	1 MALVERN ST	A B C TOW	17	50:00:00	17:50:00	97	PONT		2	BLK		PRIVAT	14	CODE 14	Friday	July	2010
Friday, April 23, 2010	STANWOOD/BLUE HILL AV	A-B	14	33:00:00	14:33:00	1	FORD			BLU		DPW	15	15-------CANCEL-----	Friday	April	2010
Friday, April 23, 2010	STANWOOD/BLUEHILL AV	A-B	14	28:00:00	14:28:00	6	MERZ			GRY		DPW	15	15----CANCEL---	Friday	April	2010
Friday, April 23, 2010	28 BISHOP JOE L SMITH WY	A-B	14	40:00:00	14:40:00	96	NISS			WHI		DPW	15	15------ATTACHED PLATE----	Friday	April	2010
Friday, April 23, 2010	7 BRINSLEY ST	A-B	14	48:00:00	14:48:00	6	FORD			BLK		DPW	15	15	Friday	April	2010
Friday, April 23, 2010	BLUE HILL/STRATHCOMA	A-B	14	45:00:00	14:45:00	6	FORD			WHI		DPW	15	15	Friday	April	2010
